,best_guess,optimistic,pessimistic
Jun-21 12:30,33.11666666666667,27.25,40.36666666666667
Jun-21 12:45,32.05,27.266666666666666,40.36666666666667
Jun-21 13:00,31.833333333333332,27.6,40.916666666666664
Jun-21 13:15,33.06666666666667,28.5,42.78333333333333
Jun-21 13:30,33.93333333333333,29.65,44.38333333333333
Jun-21 13:45,36.266666666666666,31.083333333333332,49.6
Jun-21 14:00,40.71666666666667,33.766666666666666,57.61666666666667
Jun-21 14:15,46.166666666666664,37.18333333333333,64.4
Jun-21 14:30,47.8,39.916666666666664,69.1
Jun-21 14:45,51.03333333333333,41.95,71.23333333333333
Jun-21 15:00,52.45,42.2,76.86666666666666
Jun-21 15:15,55.56666666666667,45.233333333333334,82.7
Jun-21 15:30,58.333333333333336,47.15,87.3
Jun-21 15:45,59.68333333333333,48.583333333333336,87.66666666666667
Jun-21 16:00,61.61666666666667,48.016666666666666,88.9
Jun-21 16:15,61.483333333333334,49.53333333333333,89.85
Jun-21 16:30,61.266666666666666,49.266666666666666,87.46666666666667
Jun-21 16:45,60.6,48.916666666666664,80.45
Jun-21 17:00,58.45,47.1,76.31666666666666
Jun-21 17:15,54.81666666666667,45.28333333333333,73.46666666666667
Jun-21 17:30,52.15,43.93333333333333,67.81666666666666
Jun-21 17:45,48.6,41.6,64.58333333333333
Jun-21 18:00,45.5,39.3,58.81666666666667
Jun-21 18:15,42.233333333333334,36.38333333333333,53.9
Jun-21 18:30,38.75,33.53333333333333,49.333333333333336
Jun-21 18:45,34.38333333333333,29.95,43.333333333333336
Jun-21 19:00,30.75,27.316666666666666,39.083333333333336
Jun-21 19:15,29.733333333333334,26.166666666666668,37.1
Jun-21 19:30,28.716666666666665,25.483333333333334,35.45
Jun-21 19:45,28.0,25.016666666666666,34.65
Jun-21 20:00,27.9,24.983333333333334,34.2
Jun-21 20:15,28.033333333333335,24.966666666666665,34.55
