position,name,club_team,group,international_team
Defender,Marcos Llorente,Atlético Madrid,H,Spain
Midfielder,Mikel Merino,Arsenal,H,Spain
Forward,Ferran Torres,Barcelona,H,Spain
Midfielder,Fabián Ruiz,Paris Saint-Germain,H,Spain
Midfielder,Gavi,Barcelona,H,Spain
Forward,Dani Olmo,Barcelona,H,Spain
Forward,Yéremy Pino,Crystal Palace,H,Spain
Defender,Pedro Porro,Tottenham Hotspur,H,Spain
Goalkeeper,Joan Garcia,Barcelona,H,Spain
Defender,Aymeric Laporte,Athletic Bilbao,H,Spain
Midfielder,Álex Baena,Atlético Madrid,H,Spain
Midfielder,Rodri,Manchester City,H,Spain
Forward,Nico Williams,Athletic Bilbao,H,Spain
Midfielder,Martín Zubimendi,Arsenal,H,Spain
Forward,Lamine Yamal,Barcelona,H,Spain
Midfielder,Pedri,Barcelona,H,Spain
Forward,Mikel Oyarzabal,Real Sociedad,H,Spain
Defender,Pau Cubarsí,Barcelona,H,Spain
Goalkeeper,Unai Simón,Athletic Bilbao,H,Spain
Defender,Marc Cucurella,Chelsea,H,Spain
Forward,Víctor Muñoz,Osasuna,H,Spain
Forward,Borja Iglesias,Celta Vigo,H,Spain
Goalkeeper,Sergio Rochet,Internacional,H,Uruguay
Defender,José María Giménez,Atlético Madrid,H,Uruguay
Defender,Sebastián Cáceres,América,H,Uruguay
Defender,Ronald Araújo,Barcelona,H,Uruguay
Midfielder,Manuel Ugarte,Manchester United,H,Uruguay
Midfielder,Rodrigo Bentancur,Tottenham Hotspur,H,Uruguay
Midfielder,Nicolás de la Cruz,Flamengo,H,Uruguay
Midfielder,Federico Valverde,Real Madrid,H,Uruguay
Forward,Darwin Núñez,Al-Hilal,H,Uruguay
Midfielder,Giorgian de Arrascaeta,Flamengo,H,Uruguay
Forward,Facundo Pellistri,Panathinaikos,H,Uruguay
Goalkeeper,Santiago Mele,Monterrey,H,Uruguay
Defender,Guillermo Varela,Flamengo,H,Uruguay
Midfielder,Agustín Canobbio,Fluminense,H,Uruguay
Midfielder,Emiliano Martínez,Palmeiras,H,Uruguay
Defender,Mathías Olivera,Napoli,H,Uruguay
Defender,Matías Viña,River Plate,H,Uruguay
Forward,Brian Rodríguez,América,H,Uruguay
Forward,Rodrigo Aguirre,Tigres UANL,H,Uruguay
Midfielder,Maximiliano Araújo,Sporting CP,H,Uruguay
Forward,Federico Viñas,Oviedo,H,Uruguay
Midfielder,Joaquín Piquerez,Palmeiras,H,Uruguay
Goalkeeper,Fernando Muslera,Estudiantes,H,Uruguay
Defender,Santiago Bueno,Wolverhampton Wanderers,H,Uruguay
Midfielder,Juan Manuel Sanabria,Real Salt Lake,H,Uruguay
Midfielder,Rodrigo Zalazar,Braga,H,Uruguay
Goalkeeper,Brice Samba,Rennes,I,France
Defender,Malo Gusto,Chelsea,I,France
Defender,Lucas Digne,Aston Villa,I,France
Defender,Dayot Upamecano,Bayern Munich,I,France
Defender,Jules Koundé,Barcelona,I,France
Midfielder,Manu Koné,Roma,I,France
Forward,Ousmane Dembélé,Paris Saint-Germain,I,France
Midfielder,Aurélien Tchouaméni,Real Madrid,I,France
Forward,Marcus Thuram,Inter Milan,I,France
Forward,Kylian Mbappé,Real Madrid,I,France
Forward,Michael Olise,Bayern Munich,I,France
Forward,Bradley Barcola,Paris Saint-Germain,I,France
Midfielder,N'Golo Kanté,Fenerbahçe,I,France
Midfielder,Adrien Rabiot,Milan,I,France
Defender,Ibrahima Konaté,Liverpool,I,France
Goalkeeper,Mike Maignan,Milan,I,France
Defender,William Saliba,Arsenal,I,France
Midfielder,Warren Zaïre-Emery,Paris Saint-Germain,I,France
Defender,Théo Hernandez,Al-Hilal,I,France
Forward,Désiré Doué,Paris Saint-Germain,I,France
Defender,Lucas Hernandez,Paris Saint-Germain,I,France
Forward,Jean-Philippe Mateta,Crystal Palace,I,France
Goalkeeper,Robin Risser,Lens,I,France
Midfielder,Rayan Cherki,Manchester City,I,France
Midfielder,Maghnes Akliouche,Monaco,I,France
Defender,Maxence Lacroix,Crystal Palace,I,France
Goalkeeper,Fahad Talib,Al-Talaba,I,Iraq
Defender,Rebin Sulaka,Port,I,Iraq
Defender,Hussein Ali,Pogoń Szczecin,I,Iraq
Defender,Zaid Tahseen,Pakhtakor,I,Iraq
Defender,Akam Hashim,Al-Zawraa,I,Iraq
Defender,Munaf Younis,Al-Shorta,I,Iraq
Midfielder,Youssef Amyn,AEK Larnaca,I,Iraq
Midfielder,Ibrahim Bayesh,Al Dhafra,I,Iraq
Forward,Ali Al-Hamadi,Luton Town,I,Iraq
Forward,Mohanad Ali,Dibba,I,Iraq
Forward,Ahmed Qasem,Nashville SC,I,Iraq
Goalkeeper,Jalal Hassan,Al-Zawraa,I,Iraq
Forward,Ali Yousif,Al-Talaba,I,Iraq
Midfielder,Zidane Iqbal,Utrecht,I,Iraq
Defender,Ahmed Maknzi,Al-Karma,I,Iraq
Midfielder,Amir Al-Ammari,Cracovia,I,Iraq
Forward,Ali Jasim,Al-Najma,I,Iraq
Forward,Aymen Hussein,Al-Karma,I,Iraq
Midfielder,Kevin Yakob,AGF,I,Iraq
Midfielder,Aimar Sher,Sarpsborg 08,I,Iraq
Forward,Marko Farji,Venezia,I,Iraq
Goalkeeper,Ahmed Basil,Al-Shorta,I,Iraq
Defender,Merchas Doski,Viktoria Plzeň,I,Iraq
Midfielder,Zaid Ismail,Al-Talaba,I,Iraq
Defender,Mustafa Saadoon,Al-Shorta,I,Iraq
Defender,Frans Putros,Persib,I,Iraq
Goalkeeper,Ørjan Nyland,Sevilla,I,Norway
Midfielder,Morten Thorsby,Cremonese,I,Norway
Defender,Kristoffer Ajer,Brentford,I,Norway
Defender,Leo Østigård,Genoa,I,Norway
Defender,David Møller Wolfe,Wolverhampton Wanderers,I,Norway
Midfielder,Patrick Berg,Bodø/Glimt,I,Norway
Forward,Alexander Sørloth,Atlético Madrid,I,Norway
Midfielder,Sander Berge,Fulham,I,Norway
Forward,Erling Haaland,Manchester City,I,Norway
Midfielder,Martin Ødegaard,Arsenal,I,Norway
Forward,Jørgen Strand Larsen,Crystal Palace,I,Norway
Goalkeeper,Sander Tangvik,Hamburger SV,I,Norway
Goalkeeper,Egil Selvik,Watford,I,Norway
Midfielder,Fredrik Aursnes,Benfica,I,Norway
Defender,Fredrik André Bjørkan,Bodø/Glimt,I,Norway
Defender,Marcus Holmgren Pedersen,Torino,I,Norway
Defender,Torbjørn Heggem,Bologna,I,Norway
Midfielder,Kristian Thorstvedt,Sassuolo,I,Norway
Midfielder,Thelo Aasgaard,Rangers,I,Norway
Midfielder,Antonio Nusa,RB Leipzig,I,Norway
Midfielder,Andreas Schjelderup,Benfica,I,Norway
Midfielder,Oscar Bobb,Fulham,I,Norway
Midfielder,Jens Petter Hauge,Bodø/Glimt,I,Norway
Defender,Sondre Langås,Derby County,I,Norway
Defender,Henrik Falchener,Viking,I,Norway
Defender,Julian Ryerson,Borussia Dortmund,I,Norway
Goalkeeper,Yehvann Diouf,Nice,I,Senegal
Defender,Mamadou Sarr,Chelsea,I,Senegal
Defender,Kalidou Koulibaly,Al-Hilal,I,Senegal
Defender,Abdoulaye Seck,Maccabi Haifa,I,Senegal
Midfielder,Idrissa Gueye,Everton,I,Senegal
Midfielder,Pathé Ciss,Rayo Vallecano,I,Senegal
Forward,Assane Diao,Como,I,Senegal
Midfielder,Lamine Camara,Monaco,I,Senegal
Forward,Bamba Dieng,Lorient,I,Senegal
Forward,Sadio Mané,Al-Nassr,I,Senegal
Forward,Nicolas Jackson,Bayern Munich,I,Senegal
Forward,Cherif Ndiaye,Samsunspor,I,Senegal
Forward,Iliman Ndiaye,Everton,I,Senegal
Defender,Ismail Jakobs,Galatasaray,I,Senegal
Defender,Krépin Diatta,Monaco,I,Senegal
Goalkeeper,Édouard Mendy,Al-Ahli,I,Senegal
Midfielder,Pape Matar Sarr,Tottenham Hotspur,I,Senegal
Forward,Ismaïla Sarr,Crystal Palace,I,Senegal
Defender,Moussa Niakhaté,Lyon,I,Senegal
Forward,Ibrahim Mbaye,Paris Saint-Germain,I,Senegal
Midfielder,Habib Diarra,Sunderland,I,Senegal
Midfielder,Bara Sapoko Ndiaye,Bayern Munich,I,Senegal
Goalkeeper,Mory Diaw,Le Havre,I,Senegal
Defender,Antoine Mendy,Nice,I,Senegal
Defender,El Hadji Malick Diouf,West Ham United,I,Senegal
Midfielder,Pape Gueye,Villarreal,I,Senegal
Goalkeeper,Melvin Mastil,Stade Nyonnais,J,Algeria
Defender,Aïssa Mandi,Lille,J,Algeria
Defender,Achref Abada,USM Alger,J,Algeria
Defender,Mohamed Amine Tougai,Espérance de Tunis,J,Algeria
Defender,Zineddine Belaïd,JS Kabylie,J,Algeria
Midfielder,Ramiz Zerrouki,Twente,J,Algeria
Forward,Riyad Mahrez,Al-Ahli,J,Algeria
Midfielder,Houssem Aouar,Al-Ittihad,J,Algeria
Forward,Amine Gouiri,Marseille,J,Algeria
Midfielder,Farès Chaïbi,Eintracht Frankfurt,J,Algeria
Forward,Anis Hadj Moussa,Feyenoord,J,Algeria
Forward,Nadhir Benbouali,Győri ETO,J,Algeria
Defender,Jaouen Hadjam,Young Boys,J,Algeria
Midfielder,Hicham Boudaoui,Nice,J,Algeria
Defender,Rayan Aït-Nouri,Manchester City,J,Algeria
Goalkeeper,Oussama Benbot,USM Alger,J,Algeria
Defender,Rafik Belghali,Hellas Verona,J,Algeria
Forward,Mohamed Amoura,VfL Wolfsburg,J,Algeria
Midfielder,Nabil Bentaleb,Lille,J,Algeria
Forward,Adil Boulbina,Al-Duhail,J,Algeria
Defender,Ramy Bensebaini,Borussia Dortmund,J,Algeria
Midfielder,Ibrahim Maza,Bayer Leverkusen,J,Algeria
Goalkeeper,Luca Zidane,Granada,J,Algeria
Midfielder,Yacine Titraoui,Charleroi,J,Algeria
Forward,Farès Ghedjemis,Frosinone,J,Algeria
Defender,Samir Chergui,Paris FC,J,Algeria
Goalkeeper,Juan Musso,Atlético Madrid,J,Argentina
Defender,Marcos Senesi,Bournemouth,J,Argentina
Defender,Nicolás Tagliafico,Lyon,J,Argentina
Defender,Gonzalo Montiel,River Plate,J,Argentina
Midfielder,Leandro Paredes,Boca Juniors,J,Argentina
Defender,Lisandro Martínez,Manchester United,J,Argentina
Midfielder,Rodrigo De Paul,Inter Miami CF,J,Argentina
Midfielder,Valentín Barco,Strasbourg,J,Argentina
Forward,Julián Alvarez,Atlético Madrid,J,Argentina
Forward,Lionel Messi,Inter Miami CF,J,Argentina
Midfielder,Giovani Lo Celso,Real Betis,J,Argentina
Goalkeeper,Gerónimo Rulli,Marseille,J,Argentina
Defender,Cristian Romero,Tottenham Hotspur,J,Argentina
Midfielder,Exequiel Palacios,Bayer Leverkusen,J,Argentina
Midfielder,Nicolás González,Atlético Madrid,J,Argentina
Forward,Thiago Almada,Atlético Madrid,J,Argentina
Forward,Giuliano Simeone,Atlético Madrid,J,Argentina
Forward,Nico Paz,Como,J,Argentina
Defender,Nicolás Otamendi,Benfica,J,Argentina
Midfielder,Alexis Mac Allister,Liverpool,J,Argentina
Forward,José Manuel López,Palmeiras,J,Argentina
Forward,Lautaro Martínez,Inter Milan,J,Argentina
Goalkeeper,Emiliano Martínez,Aston Villa,J,Argentina
Midfielder,Enzo Fernández,Chelsea,J,Argentina
Defender,Facundo Medina,Marseille,J,Argentina
Defender,Nahuel Molina,Atlético Madrid,J,Argentina
Goalkeeper,Alexander Schlager,Red Bull Salzburg,J,Austria
Defender,David Affengruber,Elche,J,Austria
Defender,Kevin Danso,Tottenham Hotspur,J,Austria
Midfielder,Xaver Schlager,RB Leipzig,J,Austria
Defender,Stefan Posch,Mainz 05,J,Austria
Midfielder,Nicolas Seiwald,RB Leipzig,J,Austria
Forward,Marko Arnautović,Red Star Belgrade,J,Austria
Defender,David Alaba,Real Madrid,J,Austria
Midfielder,Marcel Sabitzer,Borussia Dortmund,J,Austria
Midfielder,Florian Grillitsch,Braga,J,Austria
Forward,Michael Gregoritsch,FC Augsburg,J,Austria
Goalkeeper,Florian Wiegele,Viktoria Plzeň,J,Austria
Goalkeeper,Patrick Pentz,Brøndby,J,Austria
Forward,Saša Kalajdžić,LASK,J,Austria
Defender,Philipp Lienhart,SC Freiburg,J,Austria
Defender,Phillipp Mwene,Mainz 05,J,Austria
Midfielder,Carney Chukwuemeka,Borussia Dortmund,J,Austria
Midfielder,Romano Schmid,Werder Bremen,J,Austria
Midfielder,Dejan Ljubičić,Schalke 04,J,Austria
Midfielder,Konrad Laimer,Bayern Munich,J,Austria
Forward,Patrick Wimmer,VfL Wolfsburg,J,Austria
Midfielder,Alexander Prass,TSG Hoffenheim,J,Austria
Defender,Marco Friedl,Werder Bremen,J,Austria
Midfielder,Paul Wanner,PSV Eindhoven,J,Austria
Defender,Michael Svoboda,Venezia,J,Austria
Midfielder,Alessandro Schöpf,Wolfsberger AC,J,Austria
Goalkeeper,Yazeed Abulaila,Al-Hussein,J,Jordan
Defender,Mohammad Abu Hashish,Al-Karma,J,Jordan
Defender,Abdallah Nasib,Al-Zawraa,J,Jordan
Defender,Husam Abu Dahab,Al-Faisaly,J,Jordan
Defender,Yazan Al-Arab,FC Seoul,J,Jordan
Midfielder,Amer Jamous,Al-Zawraa,J,Jordan
Forward,Mohammad Abu Zrayq,Raja Casablanca,J,Jordan
Midfielder,Noor Al-Rawabdeh,Selangor,J,Jordan
Forward,Ali Olwan,Al-Sailiya,J,Jordan
Forward,Musa Al-Taamari,Rennes,J,Jordan
Forward,Odeh Al-Fakhouri,Pyramids,J,Jordan
Goalkeeper,Nour Bani Attiah,Al-Faisaly,J,Jordan
Forward,Mahmoud Al-Mardi,Al-Hussein,J,Jordan
Midfielder,Rajaei Ayed,Al-Hussein,J,Jordan
Midfielder,Ibrahim Sadeh,Al-Karma,J,Jordan
Defender,Mo Abualnadi,Selangor,J,Jordan
Defender,Salim Obaid,Al-Hussein,J,Jordan
Midfielder,Mohammad Taha,Al-Hussein,J,Jordan
Defender,Saed Al-Rosan,Al-Hussein,J,Jordan
Midfielder,Mohannad Abu Taha,Al-Quwa Al-Jawiya,J,Jordan
Midfielder,Nizar Al-Rashdan,Qatar SC,J,Jordan
Goalkeeper,Abdallah Al-Fakhouri,Al-Wehdat,J,Jordan
Defender,Ihsan Haddad,Al-Hussein,J,Jordan
Forward,Ali Azaizeh,Al-Shabab,J,Jordan
Midfielder,Mohammad Al-Dawoud,Al-Wehdat,J,Jordan
Defender,Anas Badawi,Al-Faisaly,J,Jordan
Goalkeeper,David Ospina,Atlético Nacional,K,Colombia
Defender,Daniel Muñoz,Crystal Palace,K,Colombia
Defender,Jhon Lucumí,Bologna,K,Colombia
Defender,Santiago Arias,Independiente,K,Colombia
Midfielder,Kevin Castaño,River Plate,K,Colombia
Midfielder,Richard Ríos,Benfica,K,Colombia
Forward,Luis Díaz,Bayern Munich,K,Colombia
Midfielder,Jorge Carrascal,Flamengo,K,Colombia
Forward,Jhon Córdoba,Krasnodar,K,Colombia
Midfielder,James Rodríguez,Minnesota United FC,K,Colombia
Midfielder,Jhon Arias,Palmeiras,K,Colombia
Goalkeeper,Camilo Vargas,Atlas,K,Colombia
Defender,Yerry Mina,Cagliari,K,Colombia
Defender,Gustavo Puerta,Racing Santander,K,Colombia
Midfielder,Juan Portilla,Athletico Paranaense,K,Colombia
Midfielder,Jefferson Lerma,Crystal Palace,K,Colombia
Defender,Johan Mojica,Mallorca,K,Colombia
Defender,Willer Ditta,Cruz Azul,K,Colombia
Forward,Cucho Hernández,Real Betis,K,Colombia
Midfielder,Juan Fernando Quintero,River Plate,K,Colombia
Forward,Jaminton Campaz,Rosario Central,K,Colombia
Defender,Deiver Machado,Nantes,K,Colombia
Defender,Davinson Sánchez,Galatasaray,K,Colombia
Goalkeeper,Álvaro Montero,Vélez Sarsfield,K,Colombia
Forward,Luis Suárez,Sporting CP,K,Colombia
Forward,Andrés Gómez,Vasco da Gama,K,Colombia
Goalkeeper,Lionel Mpasi,Le Havre,K,DR Congo
Defender,Aaron Wan-Bissaka,West Ham United,K,DR Congo
Defender,Steve Kapuadi,Widzew Łódź,K,DR Congo
Defender,Axel Tuanzebe,Burnley,K,DR Congo
Defender,Dylan Batubinsika,AEL,K,DR Congo
Midfielder,Ngal'ayel Mukau,Lille,K,DR Congo
Midfielder,Nathanaël Mbuku,Montpellier,K,DR Congo
Midfielder,Samuel Moutoussamy,Atromitos,K,DR Congo
Forward,Brian Cipenga,Castellón,K,DR Congo
Midfielder,Théo Bongonda,Spartak Moscow,K,DR Congo
Forward,Gaël Kakuta,AEL,K,DR Congo
Defender,Joris Kayembe,Genk,K,DR Congo
Forward,Meschak Elia,Alanyaspor,K,DR Congo
Midfielder,Noah Sadiki,Sunderland,K,DR Congo
Midfielder,Aaron Tshibola,Kilmarnock,K,DR Congo
Goalkeeper,Timothy Fayulu,Noah,K,DR Congo
Forward,Cédric Bakambu,Real Betis,K,DR Congo
Midfielder,Charles Pickel,Espanyol,K,DR Congo
Forward,Fiston Mayele,Pyramids,K,DR Congo
Forward,Yoane Wissa,Newcastle United,K,DR Congo
Goalkeeper,Matthieu Epolo,Standard Liège,K,DR Congo
Defender,Chancel Mbemba,Lille,K,DR Congo
Forward,Simon Banza,Al Jazira,K,DR Congo
Defender,Gédéon Kalulu,Aris Limassol,K,DR Congo
Midfielder,Edo Kayembe,Watford,K,DR Congo
Defender,Arthur Masuaku,Lens,K,DR Congo
Goalkeeper,Diogo Costa,Porto,K,Portugal
Defender,Nélson Semedo,Fenerbahçe,K,Portugal
Defender,Rúben Dias,Manchester City,K,Portugal
Defender,Tomás Araújo,Benfica,K,Portugal
Defender,Diogo Dalot,Manchester United,K,Portugal
Midfielder,Matheus Nunes,Manchester City,K,Portugal
Forward,Cristiano Ronaldo,Al-Nassr,K,Portugal
Midfielder,Bruno Fernandes,Manchester United,K,Portugal
Forward,Gonçalo Ramos,Paris Saint-Germain,K,Portugal
Midfielder,Bernardo Silva,Manchester City,K,Portugal
Forward,João Félix,Al-Nassr,K,Portugal
Goalkeeper,José Sá,Wolverhampton Wanderers,K,Portugal
Defender,Renato Veiga,Villarreal,K,Portugal
Defender,Gonçalo Inácio,Sporting CP,K,Portugal
Midfielder,João Neves,Paris Saint-Germain,K,Portugal
Forward,Francisco Trincão,Sporting CP,K,Portugal
Forward,Rafael Leão,Milan,K,Portugal
Forward,Pedro Neto,Chelsea,K,Portugal
Forward,Gonçalo Guedes,Real Sociedad,K,Portugal
Defender,João Cancelo,Barcelona,K,Portugal
Midfielder,Rúben Neves,Al-Hilal,K,Portugal
Goalkeeper,Rui Silva,Sporting CP,K,Portugal
Midfielder,Vitinha,Paris Saint-Germain,K,Portugal
Defender,Samú Costa,Mallorca,K,Portugal
Defender,Nuno Mendes,Paris Saint-Germain,K,Portugal
Forward,Francisco Conceição,Juventus,K,Portugal
Goalkeeper,Utkir Yusupov,Navbahor Namangan,K,Uzbekistan
Defender,Abdukodir Khusanov,Manchester City,K,Uzbekistan
Defender,Khojiakbar Alijonov,Pakhtakor,K,Uzbekistan
Defender,Farrukh Sayfiev,Neftchi Fergana,K,Uzbekistan
Defender,Rustam Ashurmatov,Esteghlal,K,Uzbekistan
Midfielder,Akmal Mozgovoy,Pakhtakor,K,Uzbekistan
Midfielder,Otabek Shukurov,Baniyas,K,Uzbekistan
Midfielder,Jamshid Iskanderov,Neftchi Fergana,K,Uzbekistan
Midfielder,Odiljon Hamrobekov,Tractor,K,Uzbekistan
Midfielder,Ruslanbek Jiyanov,Navbahor Namangan,K,Uzbekistan
Midfielder,Oston Urunov,Persepolis,K,Uzbekistan
Goalkeeper,Abduvohid Nematov,Nasaf,K,Uzbekistan
Defender,Sherzod Nasrullaev,Nasaf,K,Uzbekistan
Forward,Eldor Shomurodov,İstanbul Başakşehir,K,Uzbekistan
Defender,Umar Eshmurodov,Nasaf,K,Uzbekistan
Goalkeeper,Botirali Ergashev,Neftchi Fergana,K,Uzbekistan
Midfielder,Dostonbek Khamdamov,Pakhtakor,K,Uzbekistan
Defender,Abdulla Abdullaev,Dibba,K,Uzbekistan
Midfielder,Azizjon Ganiev,Al Bataeh,K,Uzbekistan
Forward,Azizbek Amonov,Dinamo Samarqand,K,Uzbekistan
Forward,Igor Sergeev,Persepolis,K,Uzbekistan
Midfielder,Abbosbek Fayzullaev,İstanbul Başakşehir,K,Uzbekistan
Midfielder,Sherzod Esanov,Bukhara,K,Uzbekistan
Defender,Bekhruz Karimov,Surkhon Termiz,K,Uzbekistan
Defender,Avazbek Ulmasaliev,AGMK,K,Uzbekistan
Defender,Jakhongir Urozov,Dinamo Samarqand,K,Uzbekistan
Goalkeeper,Dominik Livaković,Dinamo Zagreb,L,Croatia
Defender,Josip Stanišić,Bayern Munich,L,Croatia
Defender,Marin Pongračić,Fiorentina,L,Croatia
Defender,Joško Gvardiol,Manchester City,L,Croatia
Defender,Duje Ćaleta-Car,Real Sociedad,L,Croatia
Defender,Josip Šutalo,Ajax,L,Croatia
Midfielder,Nikola Moro,Bologna,L,Croatia
Midfielder,Mateo Kovačić,Manchester City,L,Croatia
Forward,Andrej Kramarić,TSG Hoffenheim,L,Croatia
Midfielder,Luka Modrić,Milan,L,Croatia
Forward,Ante Budimir,Osasuna,L,Croatia
Goalkeeper,Ivor Pandur,Hull City,L,Croatia
Midfielder,Nikola Vlašić,Torino,L,Croatia
Forward,Ivan Perišić,PSV Eindhoven,L,Croatia
Midfielder,Mario Pašalić,Atalanta,L,Croatia
Midfielder,Martin Baturina,Como,L,Croatia
Midfielder,Petar Sučić,Inter Milan,L,Croatia
Defender,Kristijan Jakić,FC Augsburg,L,Croatia
Midfielder,Toni Fruk,Rijeka,L,Croatia
Forward,Igor Matanović,SC Freiburg,L,Croatia
Midfielder,Luka Sučić,Real Sociedad,L,Croatia
Defender,Luka Vušković,Hamburger SV,L,Croatia
Goalkeeper,Dominik Kotarski,Copenhagen,L,Croatia
Forward,Marco Pašalić,Orlando City SC,L,Croatia
Defender,Martin Erlić,Midtjylland,L,Croatia
Forward,Petar Musa,FC Dallas,L,Croatia
Goalkeeper,Jordan Pickford,Everton,L,England
Defender,Ezri Konsa,Aston Villa,L,England
Defender,Nico O'Reilly,Manchester City,L,England
Midfielder,Declan Rice,Arsenal,L,England
Defender,John Stones,Manchester City,L,England
Defender,Marc Guéhi,Manchester City,L,England
Forward,Bukayo Saka,Arsenal,L,England
Midfielder,Elliot Anderson,Nottingham Forest,L,England
Forward,Harry Kane,Bayern Munich,L,England
Midfielder,Jude Bellingham,Real Madrid,L,England
Forward,Marcus Rashford,Barcelona,L,England
Defender,Trevoh Chalobah,Chelsea,L,England
Goalkeeper,Dean Henderson,Crystal Palace,L,England
Midfielder,Jordan Henderson,Brentford,L,England
Defender,Dan Burn,Newcastle United,L,England
Midfielder,Kobbie Mainoo,Manchester United,L,England
Midfielder,Morgan Rogers,Aston Villa,L,England
Forward,Anthony Gordon,Newcastle United,L,England
Forward,Ollie Watkins,Aston Villa,L,England
Forward,Noni Madueke,Arsenal,L,England
Midfielder,Eberechi Eze,Arsenal,L,England
Forward,Ivan Toney,Al-Ahli,L,England
Goalkeeper,James Trafford,Manchester City,L,England
Defender,Reece James,Chelsea,L,England
Defender,Djed Spence,Tottenham Hotspur,L,England
Defender,Jarell Quansah,Bayer Leverkusen,L,England
Goalkeeper,Lawrence Ati-Zigi,St. Gallen,L,Ghana
Defender,Alidu Seidu,Rennes,L,Ghana
Midfielder,Caleb Yirenkyi,Nordsjælland,L,Ghana
Defender,Jonas Adjetey,VfL Wolfsburg,L,Ghana
Midfielder,Thomas Partey,Villarreal,L,Ghana
Defender,Abdul Mumin,Rayo Vallecano,L,Ghana
Forward,Abdul Fatawu,Leicester City,L,Ghana
Midfielder,Kwasi Sibo,Oviedo,L,Ghana
Forward,Jordan Ayew,Leicester City,L,Ghana
Forward,Brandon Thomas-Asante,Coventry City,L,Ghana
Midfielder,Antoine Semenyo,Manchester City,L,Ghana
Goalkeeper,Joseph Anang,St Patrick's Athletic,L,Ghana
Forward,Christopher Bonsu Baah,Al-Qadsiah,L,Ghana
Defender,Gideon Mensah,Auxerre,L,Ghana
Midfielder,Elisha Owusu,Auxerre,L,Ghana
Goalkeeper,Benjamin Asare,Hearts of Oak,L,Ghana
Defender,Abdul Rahman Baba,PAOK,L,Ghana
Defender,Jerome Opoku,İstanbul Başakşehir,L,Ghana
Forward,Iñaki Williams,Athletic Bilbao,L,Ghana
Midfielder,Augustine Boakye,Saint-Étienne,L,Ghana
Defender,Kojo Peprah Oppong,Nice,L,Ghana
Forward,Kamaldeen Sulemana,Atalanta,L,Ghana
Defender,Derrick Luckassen,Pafos,L,Ghana
Forward,Ernest Nuamah,Lyon,L,Ghana
Forward,Prince Kwabena Adu,Viktoria Plzeň,L,Ghana
Defender,Marvin Senaya,Auxerre,L,Ghana
Goalkeeper,Luis Mejía,Nacional,L,Panama
Defender,César Blackman,Slovan Bratislava,L,Panama
Defender,José Córdoba,Norwich City,L,Panama
Defender,Fidel Escobar,Saprissa,L,Panama
Defender,Edgardo Fariña,Pari Nizhny Novgorod,L,Panama
Midfielder,Cristian Martínez,Ironi Kiryat Shmona,L,Panama
Midfielder,José Luis Rodríguez,Juárez,L,Panama
Midfielder,Adalberto Carrasquilla,Pumas UNAM,L,Panama
Forward,Tomás Rodríguez,Saprissa,L,Panama
Midfielder,Ismael Díaz,León,L,Panama
Midfielder,Yoel Bárcenas,Mazatlán,L,Panama
Goalkeeper,César Samudio,Marathón,L,Panama
Defender,Jiovany Ramos,Puerto Cabello,L,Panama
Defender,Carlos Harvey,Minnesota United FC,L,Panama
Defender,Eric Davis,Plaza Amador,L,Panama
Defender,Andrés Andrade,LASK,L,Panama
Forward,José Fajardo,Universidad Católica,L,Panama
Forward,Cecilio Waterman,Universidad de Concepción,L,Panama
Midfielder,Alberto Quintero,Plaza Amador,L,Panama
Midfielder,Aníbal Godoy,San Diego FC,L,Panama
Midfielder,César Yanis,Cobresal,L,Panama
Goalkeeper,Orlando Mosquera,Al-Fayha,L,Panama
Defender,Michael Amir Murillo,Beşiktaş,L,Panama
Forward,Azarias Londoño,Universidad Católica,L,Panama
Defender,Roderick Miller,Turan Tovuz,L,Panama
Defender,Jorge Gutiérrez,Deportivo La Guaira,L,Panama
