Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,%Drafted,FPTS
1,797502960,canowhoopass (5/6),0,70.64,WR Josh Malone RB Kareem Hunt TE Evan Engram FLEX Terrell Watson WR Canaan Severin DST Steelers  QB C.J. Beathard RB Matt Breida WR Trent Taylor,,Joe Mixon,56.80%,5.2
2,797554802,adthagod,0,63.66,FLEX Joe Mixon QB Patrick Mahomes II RB Spencer Ware WR Chris Conley RB Wayne Gallman WR Cobi Hamilton TE Xavier Grimble DST Steelers  WR DeSean Jackson,,Joshua Dobbs,48.30%,7.6
3,797465691,SextonHardcastle (7/10),0,62.5,WR Alex Erickson RB Orleans Darkwa FLEX Travis Rudolph TE Evan Engram QB Joshua Dobbs DST Steelers  RB Matt Breida WR Aldrick Robinson WR Trent Taylor,,JuJu Smith-Schuster,45.24%,2.3
4,797345329,mrcse13 (12/15),0,61.8,RB Tra Carson WR Josh Malone FLEX Seantavius Jones QB Joshua Dobbs RB Terrell Watson DST Steelers  WR Jeremy Kerley TE Vance McDonald WR Mike Evans,,Kareem Hunt,44.73%,1.9
5,797465692,SextonHardcastle (8/10),0,61.72,WR Alex Erickson RB Kareem Hunt WR Travis Rudolph TE Evan Engram DST Steelers  QB Matt Barkley RB Matt Breida WR Aldrick Robinson FLEX Trent Taylor,,Chris Godwin,37.93%,2.4
6,797275598,Archibus (6/15),0,61.7,RB Tra Carson FLEX C.J. Spiller WR Roger Lewis QB Joshua Dobbs RB Terrell Watson WR Cobi Hamilton TE Xavier Grimble DST Steelers  WR Chris Godwin,,Chiefs ,37.41%,7
7,797387363,detmer (1/3),0,59.3,RB Kareem Hunt TE Gavin Escobar QB Joshua Dobbs RB Terrell Watson WR JuJu Smith-Schuster WR Marcus Tucker DST Steelers  FLEX Aldrick Robinson WR Mike Evans,,Trent Taylor,28.23%,6.3
8,797542968,Immaculate11 (4/4),0,58.22,WR Alex Erickson TE Tyler Kroft RB Orleans Darkwa DST Steelers  QB Matt Barkley RB Matt Breida WR Aldrick Robinson WR Trent Taylor FLEX Chris Godwin,,Giants ,26.70%,8
9,797309826,Chrisav (8/9),0,57.98,QB Jeff Driskel DST Bengals  FLEX C.J. Spiller RB Terrell Watson TE David Johnson WR Aldrick Robinson WR Trent Taylor RB Jeremy McNichols WR Chris Godwin,,Alex Erickson,26.36%,8.3
10,797227224,rdog (1/3),0,57.88,QB Jeff Driskel RB Joe Mixon FLEX Alex Erickson WR Jehu Chesson TE Gavin Escobar DST Chiefs  RB Wayne Gallman WR Cobi Hamilton WR Chris Godwin,,AJ McCarron,25.17%,1.86
11,797293123,Northy93,0,56.8,FLEX Joe Mixon WR Josh Malone WR Seantavius Jones DST Chiefs  TE Evan Engram QB Joshua Dobbs WR Cobi Hamilton RB Joe Williams RB Jeremy McNichols,,Travis Rudolph,23.81%,3.7
12,797272600,thegibson77 (15/15),0,56.6,RB Joe Mixon WR Alex Erickson TE Evan Engram QB Joshua Dobbs RB Terrell Watson WR JuJu Smith-Schuster FLEX Matt Breida WR Trent Taylor DST 49ers ,,Matt Breida,22.28%,7.4
13,797225870,IceIceBrady (2/15),0,55.92,RB Joe Mixon FLEX Alex Erickson TE Mason Schreck WR Travis Rudolph DST Giants  QB Matt Barkley RB Matt Breida WR Aldrick Robinson WR Trent Taylor,,Terrell Watson,21.60%,10.4
14,797232918,IceIceBrady (15/15),0,54.66,QB AJ McCarron FLEX Alex Erickson TE Tyler Kroft RB Orleans Darkwa WR Travis Rudolph DST Steelers  RB Matt Breida WR Aldrick Robinson WR Trent Taylor,,Evan Engram,21.43%,2.1
15,797217948,theleafnode (8/15),0,54.6,WR Alex Erickson RB Orleans Darkwa WR Travis Rudolph TE Evan Engram QB Joshua Dobbs DST Steelers  RB Matt Breida FLEX Trent Taylor WR Chris Godwin,,Orleans Darkwa,20.41%,1.8
16,797155818,Thyde1219 (3/6),0,54.3,FLEX Joe Mixon WR Chris Conley QB Joshua Dobbs WR Cobi Hamilton DST Steelers  RB Tim Hightower WR Marquise Goodwin RB Charles Sims TE O.J. Howard,,Tyler Kroft,19.56%,0
17,797337694,coach_JLO,0,54.28,QB Jeff Driskel WR Josh Malone DST Bengals  RB Wayne Gallman FLEX James Conner WR Cobi Hamilton TE Xavier Grimble WR Tim Patrick RB Peyton Barber,,O.J. Howard,19.39%,0
