Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,%Drafted,FPTS
18,797557632,WBNECrew (7/15),0,53.86,RB Stanley Williams FLEX Joe Mixon WR A.J. Green WR Alex Erickson TE Cethan Carter RB Spencer Ware DST Chiefs  QB Jameis Winston WR Mike Evans,,Aldrick Robinson,17.35%,10.3
19,797479634,Jgoolsby (10/15),0,53.84,RB Wayne Gallman WR Roger Lewis DST Giants  WR JuJu Smith-Schuster TE Jesse James QB C.J. Beathard RB Matt Breida WR Trent Taylor FLEX Mike Evans,,Wayne Gallman,14.46%,2.5
20,797524242,kswetnam1342 (2/2),0,53.6,FLEX C.J. Spiller WR Demarcus Robinson RB Wayne Gallman TE Evan Engram QB Joshua Dobbs RB Terrell Watson DST Steelers  WR Mike Evans WR Chris Godwin,,C.J. Spiller,13.61%,2.1
20,797255797,SoulChild (12/15),0,53.6,RB Joe Mixon FLEX Kareem Hunt RB C.J. Spiller WR Darius Powe TE Evan Engram QB Joshua Dobbs WR Cobi Hamilton WR Marcus Tucker DST Steelers ,,Roger Lewis,13.44%,2.5
22,797232905,IceIceBrady (13/15),0,53.4,FLEX Alex Erickson TE Mason Schreck RB Orleans Darkwa WR Travis Rudolph DST Giants  QB Joshua Dobbs RB Matt Breida WR Aldrick Robinson WR Trent Taylor,,Mike Evans,11.22%,9.8
23,797440723,Jegar (4/7),0,53.3,RB Joe Mixon WR Alex Erickson FLEX C.J. Spiller QB Joshua Dobbs RB Terrell Watson WR JuJu Smith-Schuster DST Steelers  WR Chris Godwin TE O.J. Howard,,Buccaneers ,10.71%,4
24,797352025,savmario (3/3),0,53.14,FLEX Joe Mixon RB Kareem Hunt TE Evan Engram WR JuJu Smith-Schuster DST Steelers  QB C.J. Beathard RB Kapri Bibbs WR Aldrick Robinson WR Freddie Martino,,Steelers ,10.71%,15
25,797569189,jermsraygun,0,53.1,RB Kareem Hunt RB Wayne Gallman TE Evan Engram QB Joshua Dobbs WR JuJu Smith-Schuster DST Steelers  WR Aldrick Robinson FLEX DeSean Jackson WR Mike Evans,,Tyler Boyd,10.54%,1.8
26,797519587,TwineTickler (3/3),0,53.04,RB Kareem Hunt WR Demarcus Robinson TE Evan Engram RB Terrell Watson QB C.J. Beathard WR Aldrick Robinson WR Trent Taylor FLEX Chris Godwin DST Buccaneers ,,Josh Malone,9.18%,9.2
27,797225887,IceIceBrady (4/15),0,52.8,RB Joe Mixon FLEX Alex Erickson TE Mason Schreck WR Travis Rudolph DST Giants  QB Joshua Dobbs WR JuJu Smith-Schuster RB Matt Breida WR Aldrick Robinson,,Gavin Escobar,8.84%,0
27,797225892,IceIceBrady (5/15),0,52.8,RB Joe Mixon FLEX Alex Erickson TE Tyler Kroft WR Travis Rudolph DST Giants  QB Joshua Dobbs WR JuJu Smith-Schuster RB Matt Breida WR Aldrick Robinson,,Darius Powe,7.99%,2.5
29,797557637,WBNECrew (12/15),0,52.76,QB AJ McCarron RB Stanley Williams FLEX Joe Mixon WR A.J. Green WR Alex Erickson TE Cethan Carter RB Spencer Ware DST Giants  WR Mike Evans,,Seantavius Jones,7.65%,3.3
30,797217946,theleafnode (6/15),0,52.5,WR Alex Erickson TE Mason Schreck RB Orleans Darkwa FLEX Travis Rudolph QB Joshua Dobbs DST Steelers  RB Matt Breida WR Trent Taylor WR Chris Godwin,,49ers ,7.65%,7
31,797484214,ChiChiWobbler (1/15),0,52.16,QB AJ McCarron RB Joe Mixon WR Josh Malone TE Ross Travis WR Darius Powe DST Giants  RB Terrell Watson FLEX Matt Breida WR Trent Taylor,,Cody Core,7.31%,2.7
32,797465935,NickPilot,0,51.94,DST Chiefs  WR Roger Lewis TE Colin Thompson RB Terrell Watson WR JuJu Smith-Schuster QB C.J. Beathard RB Matt Breida WR Trent Taylor FLEX Peyton Barber,,Joe Williams,7.14%,6
33,797279552,Johnnyp135 (5/5),0,51.9,WR Alex Erickson FLEX Cody Core RB Orleans Darkwa WR Travis Rudolph TE Evan Engram DST Giants  QB Joshua Dobbs RB Matt Breida WR Aldrick Robinson,,Bengals ,6.80%,8
33,797345324,mrcse13 (7/15),0,51.9,DST Chiefs  WR Roger Lewis QB Joshua Dobbs RB Terrell Watson WR JuJu Smith-Schuster RB Joe Williams WR Trent Taylor TE Cole Hikutini FLEX Mike Evans,,Marquise Goodwin,6.63%,2.4
35,797332725,dblk88,0,51.7,WR Alex Erickson RB Wayne Gallman RB Orleans Darkwa WR Travis Rudolph TE Evan Engram DST Giants  QB Joshua Dobbs FLEX Matt Breida WR Aldrick Robinson,,DeSean Jackson,6.29%,1.6
36,797272492,thegibson77 (8/15),0,51.44,FLEX Joe Mixon TE Tyler Kroft QB Josh Johnson RB Wayne Gallman WR Travis Rudolph RB Terrell Watson WR JuJu Smith-Schuster DST Steelers  WR Aldrick Robinson,,Patrick Mahomes II,5.95%,5.96
37,797275253,Johnnyp135 (3/5),0,51.42,FLEX Joe Mixon TE Tyler Kroft WR Seantavius Jones RB Terrell Watson DST Steelers  QB Matt Barkley WR Trent Taylor RB Peyton Barber WR Chris Godwin,,Ross Travis,5.95%,1.3
38,797225868,IceIceBrady (1/15),0,51.06,QB AJ McCarron RB Joe Mixon FLEX Alex Erickson TE Mason Schreck WR Travis Rudolph DST Giants  RB Matt Breida WR Aldrick Robinson WR Trent Taylor,,Marcus Tucker,5.61%,2
38,797548174,gatortime12 (10/10),0,51.06,QB AJ McCarron RB Joe Mixon WR Alex Erickson TE Tyler Kroft WR Travis Rudolph DST Giants  RB Matt Breida FLEX Aldrick Robinson WR Trent Taylor,,Canaan Severin,5.61%,4.4
40,797552220,ConceptTheGreat (2/2),0,51,RB Giovani Bernard WR Tyreek Hill FLEX Orleans Darkwa QB Joshua Dobbs WR Cobi Hamilton WR Eli Rogers DST Steelers  TE Garrett Celek RB Jacquizz Rodgers,,Jeremy McNichols,5.44%,1.2
41,797335211,stickyhandz,0,50.87999,QB Jeff Driskel WR Josh Malone RB Kareem Hunt DST Giants  RB Kapri Bibbs WR Aldrick Robinson FLEX Peyton Barber WR Bobo Wilson TE O.J. Howard,,Mason Schreck,5.44%,0
42,797255788,SoulChild (3/15),0,50.8,FLEX Joe Mixon RB Tra Carson WR Josh Malone RB Wayne Gallman DST Giants  QB Joshua Dobbs WR Marcus Tucker WR Mike Evans TE O.J. Howard,,Derel Walker,5.27%,0
43,797293790,ICrushU,0,50.7,RB Joe Mixon RB C.J. Spiller TE Gavin Escobar DST Chiefs  QB Joshua Dobbs FLEX Terrell Watson WR JuJu Smith-Schuster WR Trent Taylor WR Mike Evans,,Eli Rogers,5.10%,1.2
44,797557608,jhalmi,0,50.6,WR Alex Erickson RB C.J. Spiller WR Darius Powe QB Joshua Dobbs RB Terrell Watson WR JuJu Smith-Schuster DST Steelers  FLEX Chris Godwin TE O.J. Howard,,Xavier Grimble,5.10%,0
44,797502957,canowhoopass (2/6),0,50.6,RB Kareem Hunt FLEX Wayne Gallman WR Roger Lewis QB Joshua Dobbs RB Terrell Watson WR Canaan Severin DST Steelers  WR Trent Taylor TE O.J. Howard,,Stanley Williams,5.10%,0.5
46,797484217,ChiChiWobbler (4/15),0,50.3,RB Joe Mixon WR Alex Erickson FLEX Kareem Hunt TE Ross Travis DST Chiefs  QB Joshua Dobbs RB Terrell Watson WR JuJu Smith-Schuster WR Trent Taylor,,Demarcus Robinson,4.76%,1.7
47,797463772,Mallen21 (10/15),0,50.2,RB Joe Mixon WR Alex Erickson TE Ross Travis DST Chiefs  RB Orleans Darkwa QB Joshua Dobbs FLEX Terrell Watson WR JuJu Smith-Schuster WR Trent Taylor,,Brandon LaFell,4.25%,2.3
48,797229840,Zeechamp (10/15),0,50.16,QB AJ McCarron RB Joe Mixon WR Alex Erickson TE Tyler Kroft WR Travis Rudolph DST Giants  RB Terrell Watson FLEX Aldrick Robinson WR Chris Godwin,,Peyton Barber,4.08%,2.1
49,797275254,Johnnyp135 (4/5),0,50.14,RB Joe Mixon TE Mason Schreck QB Josh Johnson FLEX Wayne Gallman RB Terrell Watson WR JuJu Smith-Schuster DST Steelers  WR Aldrick Robinson WR Chris Godwin,,Carlos Hyde,4.08%,1.3
50,797484223,ChiChiWobbler (10/15),0,49.9,RB Joe Mixon WR Alex Erickson FLEX Orleans Darkwa DST Giants  QB Joshua Dobbs RB Terrell Watson WR JuJu Smith-Schuster WR Trent Taylor TE Cole Hikutini,,A.J. Green,3.74%,4.1
51,797526001,cvodhanel,0,49.6,FLEX Stanley Williams RB Joe Mixon QB Joshua Dobbs RB Knile Davis WR Cobi Hamilton WR Justin Hunter WR Eli Rogers TE Xavier Grimble DST Steelers ,,Josh Johnson,3.57%,2.04
52,797267004,thegibson77 (7/15),0,49.5,FLEX Kareem Hunt DST Chiefs  WR Roger Lewis QB Joshua Dobbs RB Terrell Watson RB Matt Breida WR Aldrick Robinson TE Vance McDonald WR Chris Godwin,,Josh Huff,3.57%,1.7
52,797451390,rpdakg,0,49.5,WR Alex Erickson TE Tyler Kroft RB Orleans Darkwa WR Travis Rudolph DST Giants  QB Joshua Dobbs RB Matt Breida FLEX Aldrick Robinson WR Chris Godwin,,Tyreek Hill,3.40%,4.2
54,797269701,zamidon17,0,49.48,QB Jeff Driskel RB Joe Mixon WR Josh Malone FLEX Devine Redding DST Chiefs  WR Darius Powe WR JuJu Smith-Schuster RB Joe Williams TE O.J. Howard,,Doug Martin,3.40%,1.1
55,797484224,ChiChiWobbler (11/15),0,49.4,RB Joe Mixon WR Josh Malone FLEX Kareem Hunt TE Ross Travis DST Chiefs  QB Joshua Dobbs RB Terrell Watson WR Canaan Severin WR Chris Godwin,,Fitzgerald Toussaint,3.23%,1.9
55,797345319,mrcse13 (2/15),0,49.4,RB Joe Mixon DST Bengals  TE Evan Engram QB Joshua Dobbs RB Terrell Watson WR JuJu Smith-Schuster FLEX DeSean Jackson WR Mike Evans WR Chris Godwin,,Justin Hunter,3.23%,0
57,797499332,cj5rox,0,49.34,RB Joe Mixon WR Demarcus Robinson DST Chiefs  RB Wayne Gallman TE Will Tye FLEX James Conner WR Cobi Hamilton QB C.J. Beathard WR Josh Huff,,Cobi Hamilton,3.06%,15.2
58,797554771,bulldawg33,0,49.3,RB Joe Mixon FLEX Tyler Kroft RB Khalid Abdullah WR Kevin Norwood QB Joshua Dobbs WR Cobi Hamilton TE David Johnson DST Steelers  WR Aaron Burbridge,,Jameis Winston,3.06%,3.96
58,797556822,njsteve,0,49.3,RB Joe Mixon WR Alex Erickson RB Orleans Darkwa WR Travis Rudolph TE Evan Engram DST Giants  QB Joshua Dobbs WR JuJu Smith-Schuster FLEX Aldrick Robinson,,Paul Perkins,2.89%,0.3
60,797345330,mrcse13 (13/15),0,49.1,WR Cody Core RB Wayne Gallman WR Darius Powe QB Joshua Dobbs DST Steelers  RB Matt Breida TE Cole Hikutini FLEX DeSean Jackson WR Mike Evans,,Tra Carson,2.89%,6.5
61,797229842,Zeechamp (12/15),0,49.06001,QB AJ McCarron RB Joe Mixon WR Alex Erickson FLEX Josh Malone TE Tyler Kroft WR Travis Rudolph DST Giants  RB Terrell Watson WR Chris Godwin,,Spencer Ware,2.72%,11.6
62,797236425,Cuddy120,0,48.8,WR Alex Erickson TE Tyler Kroft RB Wayne Gallman WR Travis Rudolph QB Joshua Dobbs FLEX Marcus Tucker RB Matt Breida WR Aldrick Robinson DST 49ers ,,Adam Humphries,2.55%,1.3
62,797505634,kennym80,0,48.8,FLEX Joe Mixon DST Bengals  TE Orson Charles QB Joshua Dobbs RB Knile Davis WR Cobi Hamilton WR JuJu Smith-Schuster RB Kapri Bibbs WR Marquise Goodwin,,Jeremy Hill,2.55%,2.6
64,797463771,Mallen21 (9/15),0,48.6,RB Joe Mixon WR Alex Erickson FLEX Kareem Hunt DST Chiefs  TE Jerell Adams QB Joshua Dobbs WR Canaan Severin RB Joe Williams WR Freddie Martino,,Cole Hikutini,2.55%,0
65,797217941,theleafnode (1/15),0,48.5,WR Alex Erickson TE Mason Schreck RB Orleans Darkwa FLEX Travis Rudolph QB Joshua Dobbs RB Matt Breida WR Aldrick Robinson DST 49ers  WR Chris Godwin,,Knile Davis,2.55%,4.9
66,797440763,Jegar (5/7),0,48.46,QB AJ McCarron RB Joe Mixon FLEX Kareem Hunt WR Seantavius Jones TE Evan Engram RB Terrell Watson DST Steelers  WR Trent Taylor WR Chris Godwin,,Cethan Carter,2.55%,3.4
67,797517903,CaliNiner77,0,48.44,RB Joe Mixon WR Tyler Boyd TE Tyler Kroft DST Bengals  FLEX Orleans Darkwa WR Martavis Bryant QB C.J. Beathard RB Matt Breida WR Aldrick Robinson,,Tim Hightower,2.38%,0
68,797526020,bear99,0,48.4,RB Joe Mixon WR Chris Conley DST Chiefs  FLEX Orleans Darkwa TE Evan Engram QB Joshua Dobbs WR Cobi Hamilton RB Jeremy McNichols WR Josh Huff,,C.J. Beathard,2.38%,13.94
68,797272754,Orcachow,0,48.4,TE Tyler Kroft RB Wayne Gallman WR Roger Lewis QB Joshua Dobbs RB Terrell Watson WR JuJu Smith-Schuster WR Trent Taylor DST 49ers  FLEX Mike Evans,,Brandon Marshall,2.21%,0
70,797255796,SoulChild (11/15),0,48.3,RB Joe Mixon FLEX C.J. Spiller WR Tyreek Hill TE Gavin Escobar DST Chiefs  QB Joshua Dobbs RB Terrell Watson WR Marcus Tucker WR Mike Evans,,Charles Sims,2.21%,2.3
71,797255800,SoulChild (15/15),0,48.2,WR Josh Malone RB C.J. Spiller WR Darius Powe DST Giants  QB Joshua Dobbs WR Cobi Hamilton RB Jeremy McNichols FLEX Chris Godwin TE O.J. Howard,,Matt Barkley,2.21%,6.72
71,797569548,Racer5,0,48.2,FLEX Joe Mixon RB Kareem Hunt WR Seantavius Jones TE Ross Travis QB Joshua Dobbs RB Terrell Watson WR Eli Rogers WR JuJu Smith-Schuster DST Steelers ,,Geno Smith,2.21%,4.06
73,797342316,Bonuscash (1/10),0,48.1,RB Joe Mixon WR Josh Malone RB Kareem Hunt DST Chiefs  TE Evan Engram QB Joshua Dobbs FLEX Terrell Watson WR JuJu Smith-Schuster WR Chris Godwin,,Gehrig Dieter,2.21%,2.6
74,797232889,IceIceBrady (10/15),0,47.9,FLEX Alex Erickson TE Mason Schreck RB Kareem Hunt RB Orleans Darkwa WR Travis Rudolph DST Giants  QB Joshua Dobbs WR Aldrick Robinson WR Trent Taylor,,Darrius Heyward-Bey,2.04%,1.6
74,797279833,Archibus (9/15),0,47.9,RB Tra Carson FLEX Alex Erickson TE Gavin Escobar WR Travis Rudolph QB Joshua Dobbs RB Terrell Watson WR Marcus Tucker DST 49ers  WR Chris Godwin,,Jesse James,2.04%,1.1
76,797232897,IceIceBrady (12/15),0,47.66,QB AJ McCarron FLEX Alex Erickson TE Tyler Kroft RB Orleans Darkwa WR Travis Rudolph DST Giants  RB Matt Breida WR Aldrick Robinson WR Trent Taylor,,Martavis Bryant,2.04%,0
77,797557634,WBNECrew (9/15),0,47.52,QB Andy Dalton RB Stanley Williams WR Brandon LaFell FLEX A.J. Green WR Alex Erickson TE Cethan Carter RB Spencer Ware DST Chiefs  WR Mike Evans,,Freddie Martino,2.04%,2.4
78,797345323,mrcse13 (6/15),0,47.5,RB Joe Mixon WR Josh Malone RB Kareem Hunt DST Chiefs  QB Joshua Dobbs WR Canaan Severin TE Vance McDonald FLEX Mike Evans WR Chris Godwin,,Jacquizz Rodgers,1.87%,2.6
79,797279836,Archibus (10/15),0,47.4,RB Joe Mixon WR Cody Core FLEX C.J. Spiller QB Joshua Dobbs RB Terrell Watson WR Marcus Tucker DST Steelers  WR Chris Godwin TE O.J. Howard,,Tyler Eifert,1.87%,1.4
80,797225880,IceIceBrady (3/15),0,47.36,QB AJ McCarron FLEX Tra Carson TE Tyler Kroft RB Kareem Hunt RB Orleans Darkwa WR Travis Rudolph DST Steelers  WR Aldrick Robinson WR Trent Taylor,,Kevin Norwood,1.70%,1.7
81,797509722,Immaculate11 (3/4),0,47.24,RB Joe Mixon WR Seantavius Jones QB Josh Johnson WR Roger Lewis TE Evan Engram DST Giants  RB Terrell Watson FLEX Matt Breida WR Trent Taylor,,Dwayne Harris,1.70%,1.2
82,797225901,IceIceBrady (8/15),0,47.2,RB Joe Mixon FLEX Cody Core TE Mason Schreck WR Travis Rudolph DST Giants  QB Joshua Dobbs WR JuJu Smith-Schuster RB Matt Breida WR Aldrick Robinson,,Ryan Fitzpatrick,1.70%,8.3
83,797556725,KevinKeohane,0,47.16,QB AJ McCarron RB Joe Mixon WR Alex Erickson TE Tyler Kroft WR Travis Rudolph DST Giants  RB Matt Breida WR Aldrick Robinson FLEX Chris Godwin,,Chris Conley,1.53%,6.6
83,797479625,Jgoolsby (1/15),0,47.16,RB Tra Carson FLEX Wayne Gallman WR Roger Lewis DST Giants  RB Terrell Watson TE Jesse James WR Marquise Goodwin QB Jameis Winston WR Mike Evans,,Jeff Driskel,1.53%,17.28
85,797548165,gatortime12 (1/10),0,47.12,RB Joe Mixon FLEX Alex Erickson RB Orleans Darkwa TE Evan Engram DST Giants  WR JuJu Smith-Schuster QB Matt Barkley WR Aldrick Robinson WR Chris Godwin,,Kapri Bibbs,1.36%,0
86,797225898,IceIceBrady (6/15),0,47,RB Joe Mixon TE Mason Schreck RB Wayne Gallman WR Travis Rudolph DST Giants  QB Joshua Dobbs WR JuJu Smith-Schuster FLEX Matt Breida WR Aldrick Robinson,,Jehu Chesson,1.36%,0
86,797238713,Durrrrfan24 (1/5),0,47,RB Joe Mixon WR Josh Malone FLEX Kareem Hunt TE Gavin Escobar DST Giants  QB Joshua Dobbs RB Terrell Watson WR JuJu Smith-Schuster WR Chris Godwin,,Will Tye,1.36%,2.1
86,797238714,Durrrrfan24 (2/5),0,47,RB Joe Mixon WR Josh Malone FLEX Kareem Hunt TE Gavin Escobar DST Giants  QB Joshua Dobbs RB Terrell Watson WR JuJu Smith-Schuster WR Chris Godwin,,Pierre Garcon,1.36%,0
86,797238715,Durrrrfan24 (3/5),0,47,RB Joe Mixon WR Josh Malone FLEX Kareem Hunt TE Gavin Escobar DST Giants  QB Joshua Dobbs RB Terrell Watson WR JuJu Smith-Schuster WR Chris Godwin,,Bobo Wilson,1.36%,2.1
86,797238716,Durrrrfan24 (4/5),0,47,RB Joe Mixon WR Josh Malone FLEX Kareem Hunt TE Gavin Escobar DST Giants  QB Joshua Dobbs RB Terrell Watson WR JuJu Smith-Schuster WR Chris Godwin,,Odell Beckham Jr.,1.19%,0
86,797238717,Durrrrfan24 (5/5),0,47,RB Joe Mixon WR Josh Malone FLEX Kareem Hunt TE Gavin Escobar DST Giants  QB Joshua Dobbs RB Terrell Watson WR JuJu Smith-Schuster WR Chris Godwin,,Demarcus Ayers,1.19%,0
92,797484219,ChiChiWobbler (6/15),0,46.6,RB Joe Mixon WR Alex Erickson FLEX C.J. Spiller DST Chiefs  WR Travis Rudolph QB Joshua Dobbs RB Terrell Watson WR JuJu Smith-Schuster TE Cole Hikutini,,Khalid Abdullah,1.19%,4.6
92,797537922,bolts1282,0,46.6,FLEX Joe Mixon WR Cody Core RB Kareem Hunt DST Chiefs  QB Joshua Dobbs RB Terrell Watson WR Marcus Tucker WR Mike Evans TE O.J. Howard,,Cameron Brate,1.19%,4.7
94,797322693,thechovanone (1/15),0,46.56,QB AJ McCarron FLEX Joe Mixon WR Alex Erickson TE Tyler Kroft RB Orleans Darkwa WR Travis Rudolph DST Giants  RB Matt Breida WR Aldrick Robinson,,Antonio Brown,1.02%,0
94,797322699,thechovanone (2/15),0,46.56,QB AJ McCarron FLEX Joe Mixon WR Alex Erickson TE Tyler Kroft RB Orleans Darkwa WR Travis Rudolph DST Giants  RB Matt Breida WR Aldrick Robinson,,Jeremy Kerley,1.02%,0
94,797322703,thechovanone (3/15),0,46.56,QB AJ McCarron FLEX Joe Mixon WR Alex Erickson TE Tyler Kroft RB Orleans Darkwa WR Travis Rudolph DST Giants  RB Matt Breida WR Aldrick Robinson,,Albert Wilson,1.02%,0
94,797322713,thechovanone (4/15),0,46.56,QB AJ McCarron FLEX Joe Mixon WR Alex Erickson TE Tyler Kroft RB Orleans Darkwa WR Travis Rudolph DST Giants  RB Matt Breida WR Aldrick Robinson,,Trey Williams,1.02%,0
94,797322716,thechovanone (5/15),0,46.56,QB AJ McCarron FLEX Joe Mixon WR Alex Erickson TE Tyler Kroft RB Orleans Darkwa WR Travis Rudolph DST Giants  RB Matt Breida WR Aldrick Robinson,,Devine Redding,0.85%,0
94,797322719,thechovanone (6/15),0,46.56,QB AJ McCarron FLEX Joe Mixon WR Alex Erickson TE Tyler Kroft RB Orleans Darkwa WR Travis Rudolph DST Giants  RB Matt Breida WR Aldrick Robinson,,Garrett Celek,0.85%,3.4
94,797322724,thechovanone (7/15),0,46.56,QB AJ McCarron FLEX Joe Mixon WR Alex Erickson TE Tyler Kroft RB Orleans Darkwa WR Travis Rudolph DST Giants  RB Matt Breida WR Aldrick Robinson,,Alonzo Russell,0.85%,0
94,797328878,thechovanone (8/15),0,46.56,QB AJ McCarron FLEX Joe Mixon WR Alex Erickson TE Tyler Kroft RB Orleans Darkwa WR Travis Rudolph DST Giants  RB Matt Breida WR Aldrick Robinson,,Ryan Griffin,0.85%,2.28
94,797328888,thechovanone (9/15),0,46.56,QB AJ McCarron FLEX Joe Mixon WR Alex Erickson TE Tyler Kroft RB Orleans Darkwa WR Travis Rudolph DST Giants  RB Matt Breida WR Aldrick Robinson,,De'Anthony Thomas,0.85%,1.6
94,797328892,thechovanone (10/15),0,46.56,QB AJ McCarron FLEX Joe Mixon WR Alex Erickson TE Tyler Kroft RB Orleans Darkwa WR Travis Rudolph DST Giants  RB Matt Breida WR Aldrick Robinson,,DeAndre Smelter,0.85%,0
94,797328893,thechovanone (11/15),0,46.56,QB AJ McCarron FLEX Joe Mixon WR Alex Erickson TE Tyler Kroft RB Orleans Darkwa WR Travis Rudolph DST Giants  RB Matt Breida WR Aldrick Robinson,,Demetrius Harris,0.68%,0
94,797328895,thechovanone (12/15),0,46.56,QB AJ McCarron FLEX Joe Mixon WR Alex Erickson TE Tyler Kroft RB Orleans Darkwa WR Travis Rudolph DST Giants  RB Matt Breida WR Aldrick Robinson,,Giovani Bernard,0.68%,0
94,797328909,thechovanone (13/15),0,46.56,QB AJ McCarron FLEX Joe Mixon WR Alex Erickson TE Tyler Kroft RB Orleans Darkwa WR Travis Rudolph DST Giants  RB Matt Breida WR Aldrick Robinson,,Jerome Lane,0.68%,4.7
94,797328910,thechovanone (14/15),0,46.56,QB AJ McCarron FLEX Joe Mixon WR Alex Erickson TE Tyler Kroft RB Orleans Darkwa WR Travis Rudolph DST Giants  RB Matt Breida WR Aldrick Robinson,,Brian Hoyer,0.68%,0.12
94,797328916,thechovanone (15/15),0,46.56,QB AJ McCarron FLEX Joe Mixon WR Alex Erickson TE Tyler Kroft RB Orleans Darkwa WR Travis Rudolph DST Giants  RB Matt Breida WR Aldrick Robinson,,David Johnson,0.68%,0
94,797548170,gatortime12 (6/10),0,46.56,QB AJ McCarron RB Joe Mixon WR Alex Erickson TE Tyler Kroft RB Orleans Darkwa WR Travis Rudolph DST Giants  FLEX Matt Breida WR Aldrick Robinson,,Vance McDonald,0.68%,0
